ปีงบประมาณ,ปีคริสต์ศักราช,วันที่ตัดยอด,วันที่ตัดยอด_ไทย,จัดสรรรวม,รวมเบิกจ่ายและผูกพันรวม,คงเหลือรวม,อัตราเบิกจ่าย_ร้อยละ,จำนวนแถวทั้งหมด,จำนวนแถวประเภทรายการ,จำนวนแผนงาน,รหัสเอกสาร,ไฟล์ต้นทาง,หน้าอ้างอิง
2563,2020,2564-01-31,31 มกราคม 2564,4420515932.0,3954798465.83,465717466.17,89.46,311,266,3,DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,1
2564,2021,2565-01-31,31 มกราคม 2565,5798710000.0,5283724172.12,514985827.88,91.12,308,261,3,DOC-BUD-2564,1.2ผลเบิกจ่ายปี 2564 - final.pdf,1
2565,2022,2565-12-31,31 ธันวาคม 2565,5528463750.0,5332468079.25,195995670.75,96.45,302,256,3,DOC-BUD-2565,1.3ผลเบิกจ่ายปี 2565 - final.pdf,1
2566,2023,2567-02-29,29 กุมภาพันธ์ 2567,6938487760.0,6613628223.71,324859536.29,95.32,318,272,3,DOC-BUD-2566,1.4ผลเบิกจ่ายปี 2566  final.pdf,1
2567,2024,2567-10-31,31 ตุลาคม 2567,5303083050.0,4180805791.99,1122277258.01,78.84,301,258,3,DOC-BUD-2567,1.5ผลเบิกจ่ายปี 2567 - final.pdf,1
