รหัสเอกสาร,ชื่อไฟล์,ประเภทเอกสาร,กลุ่มข้อมูล,ปีงบประมาณ,ปีคริสต์ศักราช,วันที่ยอดข้อมูล,วันที่ยอดข้อมูล_ไทย,วันที่ออกรายงาน,จำนวนหน้า,หัวเรื่องในเอกสาร,จำนวนแถวที่สกัดได้,วิธีการสกัดข้อมูล
DOC-BUD-2563,1.1ผลเบิกจ่ายปี 2563- final.pdf,รายงานผลการเบิกจ่ายงบประมาณรายปี,รายจ่าย,2563,2020,2564-01-31,31 มกราคม 2564,,10,เงินกองทุนเพื่อบริหารงานสำนักงานประกันสังคม ปี 2563,311,สกัดข้อความจาก PDF ด้วย pypdf โดยใช้พิกัดคอลัมน์
DOC-BUD-2564,1.2ผลเบิกจ่ายปี 2564 - final.pdf,รายงานผลการเบิกจ่ายงบประมาณรายปี,รายจ่าย,2564,2021,2565-01-31,31 มกราคม 2565,,9,เงินกองทุนเพื่อบริหารงานสำนักงานประกันสังคม ปี 2564,308,สกัดข้อความจาก PDF ด้วย pypdf โดยใช้พิกัดคอลัมน์
DOC-BUD-2565,1.3ผลเบิกจ่ายปี 2565 - final.pdf,รายงานผลการเบิกจ่ายงบประมาณรายปี,รายจ่าย,2565,2022,2565-12-31,31 ธันวาคม 2565,,9,เงินกองทุนเพื่อบริหารงานสำนักงานประกันสังคม ปี 2565,302,สกัดข้อความจาก PDF ด้วย pypdf โดยใช้พิกัดคอลัมน์
DOC-BUD-2566,1.4ผลเบิกจ่ายปี 2566  final.pdf,รายงานผลการเบิกจ่ายงบประมาณรายปี,รายจ่าย,2566,2023,2567-02-29,29 กุมภาพันธ์ 2567,,9,เงินกองทุนเพื่อบริหารงานสำนักงานประกันสังคม ปี 2566,318,สกัดข้อความจาก PDF ด้วย pypdf โดยใช้พิกัดคอลัมน์
DOC-BUD-2567,1.5ผลเบิกจ่ายปี 2567 - final.pdf,รายงานผลการเบิกจ่ายงบประมาณรายปี,รายจ่าย,2567,2024,2567-10-31,31 ตุลาคม 2567,,10,เงินกองทุนเพื่อบริหารงานสำนักงานประกันสังคม ปี 2567,301,สกัดข้อความจาก PDF ด้วย pypdf โดยใช้พิกัดคอลัมน์
DOC-AST-2567,2. สินทรัพย์คงเหลือ2567_1.pdf,รายงานสินทรัพย์คงเหลือ,สินทรัพย์,2567,2024,2567-09-30,30 กันยายน 2567,2567-11-05,1909,รายงานสินทรัพย์คงเหลือ ณ วันที่ 30 กันยายน 2567,82021,สกัดข้อความจาก PDF ด้วย pypdf โดยใช้พิกัดคอลัมน์
